#t dx dy dz
0.652 -0.4588 -1.1882 -3.0237
0.653 -0.2289 -1.3758 -2.6915
0.654 -0.3359 -1.3188 -2.8375
0.655 -0.3594 -1.6003 -2.8223
0.656 -0.4046 -1.7227 -2.7428
0.657 -0.1910 -1.7676 -2.4550
0.658 -0.0014 -1.8280 -2.1246
0.659 0.2737 -1.9239 -2.2070
0.66 0.2024 -2.3690 -2.1485
0.661 0.0371 -2.1998 -1.9298
0.662 -0.0933 -2.1125 -1.7845
0.663 -0.0443 -2.3756 -1.9602
0.664 0.0298 -2.2470 -1.6077
0.665 -0.2436 -2.4790 -1.4536
0.666 -0.2477 -2.6062 -1.6613
